Año,Total Precipitación (mm),Media Precipitación (mm)
2006,1342.0,111.83333333333333
2007,1698.0,141.5
2008,1253.0,104.41666666666667
2009,1792.0,149.33333333333334
2010,1477.0,123.08333333333333
2011,1249.0,104.08333333333333
2012,1379.0,114.91666666666667
2013,1246.0,103.83333333333333
2014,1601.0,133.41666666666666
2015,1165.0,97.08333333333333
2016,1791.0,149.25
2017,1318.0,109.83333333333333
2018,1339.0,111.58333333333333
2019,1448.0,120.66666666666667
2020,1544.0,128.66666666666666
2021,975.0,81.25
2022,1231.0,102.58333333333333
2023,1218.0,101.5
2024,839.0,69.91666666666667
2025,1295.0,107.91666666666667
2026,1085.0,90.41666666666667
2027,1258.0,104.83333333333333
2028,1381.0,115.08333333333333
2029,1148.0,95.66666666666667
2030,1010.0,84.16666666666667
2031,1504.0,125.33333333333333
2032,1177.0,98.08333333333333
2033,1053.0,87.75
2034,921.0,76.75
2035,1213.0,101.08333333333333
2036,1350.0,112.5
2037,1335.0,111.25
2038,728.0,60.666666666666664
2039,1272.0,106.0
2040,1396.0,116.33333333333333
2041,1134.0,94.5
2042,1655.0,137.91666666666666
2043,1192.0,99.33333333333333
2044,1309.0,109.08333333333333
2045,1227.0,102.25
2046,1697.0,141.41666666666666
2047,1137.0,94.75
2048,1248.0,104.0
2049,1509.0,125.75
2050,1221.0,101.75
2051,1195.0,99.58333333333333
2052,1151.0,95.91666666666667
2053,1281.0,106.75
2054,1140.0,95.0
2055,1015.0,84.58333333333333
2056,1080.0,90.0
2057,1262.0,105.16666666666667
2058,1356.0,113.0
2059,955.0,79.58333333333333
2060,1411.0,117.58333333333333
2061,1308.0,109.0
2062,826.0,68.83333333333333
2063,969.0,80.75
2064,1022.0,85.16666666666667
2065,941.0,78.41666666666667
2066,966.0,80.5
2067,999.0,83.25
2068,992.0,82.66666666666667
2069,879.0,73.25
2070,1146.0,95.5
2071,1490.0,124.16666666666667
2072,1013.0,84.41666666666667
2073,1056.0,88.0
2074,1021.0,85.08333333333333
2075,1010.0,84.16666666666667
2076,904.0,75.33333333333333
2077,1224.0,102.0
2078,942.0,78.5
2079,1029.0,85.75
2080,1024.0,85.33333333333333
2081,1235.0,102.91666666666667
2082,908.0,75.66666666666667
2083,1493.0,124.41666666666667
2084,588.0,49.0
2085,982.0,81.83333333333333
2086,873.0,72.75
2087,797.0,66.41666666666667
2088,919.0,76.58333333333333
2089,1341.0,111.75
2090,944.0,78.66666666666667
2091,952.0,79.33333333333333
2092,1013.0,84.41666666666667
2093,771.0,64.25
2094,952.0,79.33333333333333
2095,959.0,79.91666666666667
2096,947.0,78.91666666666667
2097,1152.0,96.0
2098,640.0,53.333333333333336
2099,1186.0,98.83333333333333
2100,1057.0,88.08333333333333
